SS-1 Edges    
ID   v1       v2     
  1  1  2 
  2  2  3 
  3  4  5 
  4  5  6 
  5  6  7 
  6  7  8 
  7  8  9 
  8  3  6 
  9  1  4 
 10  2  5 
 11  8 10 
 12  9  7 
 13 10 11 
 14 11 12 
 15 12 13 
 16 14 15 
 17 14 16 
 18 15 17 
 19 17 16 
 20 16 13 
 21 13 18 
 22 18 19 
 23 24 25 
 24 25 30 
 25 25 19 
 26 30 31 
 27 19 22 
 28 23 22 
 29 23 21 
 30 20 21 
 31 20 22 
 32 26 27 
 33 28 29 
 34 27 29 
 35 26 28 
 36 25 28 
 37 34 31 
 38 35 33 
 39 33 32 
 40 34 35 
 41 34 32 
 42 31 36 
 43 36 37 
 44 36 38 
 45 39 38 
 46 40 38 
 47 40 41 
 48 42 43 
 49 43 44 
 50 44 45 
 51 46 47 
 52 47 48 
 53 48 49 
 54 50 51 
 55 51 52 
 56 52 53 
 57 42 46 
 58 50 46 
 59 43 47 
 60 51 47 
 61 52 48 
 62 44 48 
 63 45 49 
 64 53 49 
 65 53 40 
