SS-2 Gazebo Graph Coordinates 
ID   X        Y      
  1  54.8700   3.8800 
  2  61.6700   3.8800 
  3  68.4700   3.8800 
  4  68.4700  11.6300 
  5  68.4700  19.3800 
  6  68.4700  27.1300 
  7  68.4700  33.8400 
  8  63.8600  33.8400 
  9  68.4700  37.4400 
 10  63.8600  37.4400 
 11  68.4700  41.0400 
 12  63.8600  41.0400 
 13  67.5400  45.4500 
 14  67.5400  48.7800 
 15  67.5400  51.5300 
 16  61.8600  45.4500 
 17  61.8600  48.7800 
 18  61.8600  51.5300 
 19  58.3400  45.4500 
 20  58.3400  48.7800 
 21  58.3400  51.5300 
 22  53.7600  45.4500 
 23  52.3600  48.7800 
 24  52.3600  51.5300 
 25  48.6900  45.4500 
 26  48.6900  48.7800 
 27  48.6900  51.5300 
 28  44.1100  45.4500 
 29  42.7100  48.7800 
 30  42.7100  51.5300 
 31  39.6000  45.4500 
 32  39.6000  48.7800 
 33  39.6000  51.5300 
 34  35.0200  45.4500 
 35  33.6200  48.7800 
 36  33.6200  51.5300 
 37  29.2100  45.4500 
 38  23.6300  45.4500 
 39  17.2700  45.4500 
 40  12.2700  45.6800 
 41   7.3400  45.6800 
 42   2.0700  45.6800 
 43   7.3400  40.7900 
 44   2.0700  40.7900 
 45   7.3400  35.9000 
 46   2.0700  35.9000 
