SS-2 0-0 BL Gazebo
ID X	  Y
1 2.50000 36.20000
2 2.50000 41.50000
3 2.50000 46.80000
4 7.50000 36.20000
5 7.50000 41.50000
6 7.50000 46.80000
7 12.50000 46.80000
8 17.50000 45.45000
9 17.50000 48.15000
10 23.00000 45.45000
11 29.00000 45.45000
12 35.10000 45.45000
13 38.20000 45.45000
14 33.70000 48.77500
15 33.70000 51.52500
16 38.20000 48.77500
17 38.20000 51.52500
18 44.40000 45.45000
19 47.50000 45.45000
20 43.00000 48.77500
21 43.00000 51.52500
22 47.50000 48.77500
23 47.50000 51.52500
24 53.70000 45.45000
25 56.80000 45.45000
26 52.30000 48.77500
27 52.30000 51.52500
28 56.80000 48.77500
29 56.80000 51.52500
30 63.00000 45.45000
31 66.10000 45.45000
32 61.60000 48.77500
33 61.60000 51.52500
34 66.10000 48.77500
35 66.10000 51.52500
36 67.50000 41.60000
37 62.88500 41.60000
38 67.50000 38.00000
39 62.88500 38.00000
40 67.50000 34.50000
41 62.88500 34.50000
42 53.90000 4.47500
43 53.90000 12.22500
44 53.90000 19.97500
45 53.90000 27.72500
46 60.70000 4.47500
47 60.70000 12.22500
48 60.70000 19.97500
49 60.70000 27.72500
50 67.50000 4.47500
51 67.50000 12.22500
52 67.50000 19.97500
53 67.50000 27.72500
