SS-2 Edges    
ID  v1  v2
1 1 4
2 1 2
3 2 5
4 2 3
5 3 6
6 4 5
7 5 6
8 7 8
9 8 9
10 9 7
11 10 11
12 12 13
13 14 16
14 14 15
15 15 17
16 16 17
17 13 16
18 18 19
19 20 22
20 20 21
21 21 23
22 22 23
23 19 22
24 24 25
25 26 28
26 26 27
27 27 29
28 28 29
29 25 28
30 30 31
31 32 34
32 32 33
33 33 35
34 34 35
35 31 34
36 36 37
37 38 39
38 40 41
39 42 46
40 42 43
41 43 47
42 43 44
43 44 48
44 44 45
45 45 49
46 46 50
47 46 47
48 47 51
49 47 48
50 48 52
51 48 49
52 49 53
53 50 51
54 51 52
55 52 53
56 40 53
57 38 40
58 36 38
59 31 36
60 25 30
61 19 24
62 13 18
63 11 12
64 8 10
65 6 7
