SS-2 Edges    
ID   v1       v2     
  1  1  4 
  2  1  2 
  3  2  5 
  4  2  3 
  5  3  6 
  6  4  5 
  7  5  6 
  8  7  8 
  9  9 10 
 10 11 12 
 11 13 15 
 12 13 14 
 13 14 16 
 14 15 16 
 15 12 15 
 16 17 18 
 17 19 21 
 18 19 20 
 19 20 22 
 20 21 22 
 21 18 21 
 22 23 24 
 23 25 27 
 24 25 26 
 25 26 28 
 26 27 28 
 27 24 27 
 28 29 30 
 29 31 33 
 30 31 32 
 31 32 34 
 32 33 34 
 33 30 33 
 34 35 36 
 35 37 38 
 36 39 40 
 37 41 42 
 38 42 43 
 39 43 44 
 40 44 45 
 41 45 46 
 42 39 46 
 43 37 39 
 44 35 37 
 45 30 35 
 46 24 29 
 47 18 23 
 48 12 17 
 49 10 11 
 50  8  9 
 51  6  7 
