SS-2 Image Graph Coordinates 
ID   X        Y      
  1  54.8700   4.2625 
  2  62.3500   4.2625 
  3  69.8300   4.2625 
  4  69.8300  12.7875 
  5  69.8300  21.3125 
  6  69.8300  29.8375 
  7  69.8300  37.2200 
  8  64.7550  37.2200 
  9  69.8300  41.1800 
 10  64.7550  41.1800 
 11  69.8300  45.1400 
 12  64.7550  45.1400 
 13  70.4500  49.9950 
 14  70.4500  53.6525 
 15  70.4500  56.6775 
 16  62.5000  49.9950 
 17  62.5000  53.6525 
 18  62.5000  56.6775 
 19  58.4600  49.9950 
 20  58.4600  53.6525 
 21  58.4600  56.6775 
 22  52.0500  49.9950 
 23  50.5100  53.6525 
 24  50.5100  56.6775 
 25  46.4700  49.9950 
 26  46.4700  53.6525 
 27  46.4700  56.6775 
 28  40.0600  49.9950 
 29  38.5200  53.6525 
 30  38.5200  56.6775 
 31  34.4800  49.9950 
 32  34.4800  53.6525 
 33  34.4800  56.6775 
 34  28.0700  49.9950 
 35  26.5300  53.6525 
 36  26.5300  56.6775 
 37  23.1350  49.9950 
 38  18.8450  49.9950 
 39  13.9500  49.9950 
 40   8.4500  50.2500 
 41   2.5375  50.2500 
 42  -3.7875  50.2500 
 43   2.5375  43.4000 
 44  -3.7875  43.4000 
 45   2.5375  36.5500 
 46  -3.7875  36.5500 
