SS-2 Image Graph Coordinates 
ID   X        Y      
  1  -3.7875  36.5500 
  2  -3.7875  43.4000 
  3  -3.7875  50.2500 
  4   2.5375  36.5500 
  5   2.5375  43.4000 
  6   2.5375  50.2500 
  7   8.4500  50.2500 
  8  13.9500  49.9950 
  9  18.8450  49.9950 
 10  23.1350  49.9950 
 11  28.0700  49.9950 
 12  34.4800  49.9950 
 13  26.5300  53.6525 
 14  26.5300  56.6775 
 15  34.4800  53.6525 
 16  34.4800  56.6775 
 17  40.0600  49.9950 
 18  46.4700  49.9950 
 19  38.5200  53.6525 
 20  38.5200  56.6775 
 21  46.4700  53.6525 
 22  46.4700  56.6775 
 23  52.0500  49.9950 
 24  58.4600  49.9950 
 25  50.5100  53.6525 
 26  50.5100  56.6775 
 27  58.4600  53.6525 
 28  58.4600  56.6775 
 29  62.5000  49.9950 
 30  70.4500  49.9950 
 31  62.5000  53.6525 
 32  62.5000  56.6775 
 33  70.4500  53.6525 
 34  70.4500  56.6775 
 35  69.8300  45.1400 
 36  64.7550  45.1400 
 37  69.8300  41.1800 
 38  64.7550  41.1800 
 39  69.8300  37.2200 
 40  64.7550  37.2200 
 41  54.8700   4.2625 
 42  62.3500   4.2625 
 43  69.8300   4.2625 
 44  69.8300  12.7875 
 45  69.8300  21.3125 
 46  69.8300  29.8375 
