SS-1 Robot Pose 
ID   x        y      
  1 -31.7484 -31.1901 
  2 -31.7484 -31.1901 
  3 -31.7484 -31.1901 
  4 -31.7484 -31.1901 
  5 -31.7482 -31.1580 
  6 -31.7482 -31.1579 
  7 -31.7476 -31.1248 
  8 -31.7467 -31.0910 
  9 -31.7453 -31.0562 
 10 -31.7436 -31.0206 
 11 -31.7416 -30.9839 
 12 -31.7394 -30.9462 
 13 -31.7371 -30.9074 
 14 -31.7348 -30.8674 
 15 -31.7326 -30.8263 
 16 -31.7306 -30.7838 
 17 -31.7286 -30.7402 
 18 -31.7263 -30.6955 
 19 -31.7237 -30.6481 
 20 -31.7211 -30.6007 
 21 -31.7181 -30.5502 
 22 -31.7149 -30.4989 
 23 -31.7115 -30.4465 
 24 -31.7077 -30.3914 
 25 -31.7036 -30.3357 
 26 -31.7002 -30.2766 
 27 -31.6939 -30.2175 
 28 -31.6806 -30.1660 
 29 -31.6768 -30.1200 
 30 -31.6730 -30.0766 
 31 -31.6689 -30.0318 
 32 -31.6648 -29.9887 
 33 -31.6604 -29.9445 
 34 -31.6561 -29.9018 
 35 -31.6516 -29.8579 
 36 -31.6470 -29.8153 
 37 -31.6423 -29.7720 
 38 -31.6371 -29.7267 
 39 -31.6320 -29.6825 
 40 -31.6269 -29.6390 
 41 -31.6216 -29.5966 
 42 -31.6161 -29.5530 
 43 -31.6101 -29.5072 
 44 -31.6043 -29.4636 
 45 -31.5983 -29.4204 
 46 -31.5920 -29.3760 
 47 -31.5858 -29.3328 
 48 -31.5791 -29.2883 
 49 -31.5724 -29.2448 
 50 -31.5653 -29.2005 
 51 -31.5582 -29.1567 
 52 -31.5509 -29.1132 
 53 -31.5434 -29.0697 
 54 -31.5356 -29.0254 
 55 -31.5276 -28.9817 
 56 -31.5194 -28.9381 
 57 -31.5110 -28.8946 
 58 -31.5022 -28.8509 
 59 -31.4933 -28.8074 
 60 -31.4840 -28.7637 
 61 -31.4747 -28.7211 
 62 -31.4650 -28.6784 
 63 -31.4547 -28.6343 
 64 -31.4443 -28.5914 
 65 -31.4335 -28.5477 
 66 -31.4225 -28.5049 
 67 -31.4109 -28.4611 
 68 -31.3993 -28.4188 
 69 -31.3873 -28.3764 
 70 -31.3748 -28.3335 
 71 -31.3623 -28.2920 
 72 -31.3491 -28.2493 
 73 -31.3353 -28.2062 
 74 -31.3210 -28.1632 
 75 -31.3066 -28.1212 
 76 -31.2919 -28.0793 
 77 -31.2763 -28.0366 
 78 -31.2606 -27.9948 
 79 -31.2450 -27.9544 
 80 -31.2287 -27.9134 
 81 -31.2110 -27.8706 
 82 -31.1935 -27.8292 
 83 -31.1756 -27.7883 
 84 -31.1572 -27.7475 
 85 -31.1386 -27.7074 
 86 -31.1194 -27.6673 
 87 -31.0999 -27.6276 
 88 -31.0796 -27.5875 
 89 -31.0584 -27.5471 
 90 -31.0372 -27.5077 
 91 -31.0160 -27.4694 
 92 -30.9938 -27.4306 
 93 -30.9710 -27.3918 
 94 -30.9478 -27.3535 
 95 -30.9239 -27.3152 
 96 -30.8997 -27.2776 
 97 -30.8751 -27.2405 
 98 -30.8506 -27.2046 
 99 -30.8250 -27.1681 
100 -30.7980 -27.1309 
101 -30.7711 -27.0950 
102 -30.7445 -27.0604 
103 -30.7172 -27.0259 
104 -30.6897 -26.9921 
105 -30.6599 -26.9567 
106 -30.6300 -26.9222 
107 -30.6009 -26.8897 
108 -30.5701 -26.8563 
109 -30.5394 -26.8240 
110 -30.5091 -26.7930 
111 -30.4771 -26.7613 
112 -30.4441 -26.7296 
113 -30.4110 -26.6989 
114 -30.3779 -26.6691 
115 -30.3442 -26.6399 
116 -30.3119 -26.6126 
117 -30.2766 -26.5838 
118 -30.2408 -26.5556 
119 -30.2065 -26.5296 
120 -30.1700 -26.5028 
121 -30.1333 -26.4768 
122 -30.0967 -26.4518 
123 -30.0609 -26.4282 
124 -30.0227 -26.4039 
125 -29.9844 -26.3804 
126 -29.9464 -26.3579 
127 -29.9077 -26.3358 
128 -29.8692 -26.3145 
129 -29.8297 -26.2934 
130 -29.7900 -26.2729 
131 -29.7506 -26.2532 
132 -29.7103 -26.2337 
133 -29.6700 -26.2148 
134 -29.6294 -26.1965 
135 -29.5891 -26.1788 
136 -29.5477 -26.1612 
137 -29.5064 -26.1442 
138 -29.4650 -26.1277 
139 -29.4245 -26.1121 
140 -29.3820 -26.0962 
141 -29.3400 -26.0809 
142 -29.2980 -26.0661 
143 -29.2568 -26.0520 
144 -29.2139 -26.0377 
145 -29.1719 -26.0241 
146 -29.1303 -26.0110 
147 -29.0870 -25.9978 
148 -29.0447 -25.9853 
149 -29.0018 -25.9729 
150 -28.9595 -25.9610 
151 -28.9175 -25.9495 
152 -28.8741 -25.9380 
153 -28.8317 -25.9270 
154 -28.7893 -25.9163 
155 -28.7454 -25.9054 
156 -28.7024 -25.8951 
157 -28.6598 -25.8851 
158 -28.6166 -25.8752 
159 -28.5735 -25.8655 
160 -28.5304 -25.8560 
161 -28.4877 -25.8468 
162 -28.4442 -25.8377 
163 -28.4010 -25.8288 
164 -28.3579 -25.8201 
165 -28.3146 -25.8115 
166 -28.2715 -25.8030 
167 -28.2283 -25.7947 
168 -28.1852 -25.7864 
169 -28.1420 -25.7783 
170 -28.0988 -25.7703 
171 -28.0556 -25.7625 
172 -28.0123 -25.7546 
173 -27.9690 -25.7470 
174 -27.9257 -25.7394 
175 -27.8825 -25.7320 
176 -27.8390 -25.7246 
177 -27.7956 -25.7174 
178 -27.7522 -25.7103 
179 -27.7088 -25.7033 
180 -27.6657 -25.6965 
181 -27.6218 -25.6896 
182 -27.5783 -25.6830 
