SS-2 Robot Pose Translated 
ID   x        y      
  1  16.0616 -12.2901 
  2  16.0616 -12.2901 
  3  16.0616 -12.2901 
  4  16.0616 -12.2901 
  5  16.0618 -12.2580 
  6  16.0618 -12.2579 
  7  16.0624 -12.2248 
  8  16.0633 -12.1910 
  9  16.0647 -12.1562 
 10  16.0664 -12.1206 
 11  16.0684 -12.0839 
 12  16.0706 -12.0462 
 13  16.0729 -12.0074 
 14  16.0752 -11.9674 
 15  16.0774 -11.9263 
 16  16.0794 -11.8838 
 17  16.0814 -11.8402 
 18  16.0837 -11.7955 
 19  16.0863 -11.7481 
 20  16.0889 -11.7007 
 21  16.0919 -11.6502 
 22  16.0951 -11.5989 
 23  16.0985 -11.5465 
 24  16.1023 -11.4914 
 25  16.1064 -11.4357 
 26  16.1098 -11.3766 
 27  16.1161 -11.3175 
 28  16.1294 -11.2660 
 29  16.1332 -11.2200 
 30  16.1370 -11.1766 
 31  16.1411 -11.1318 
 32  16.1452 -11.0887 
 33  16.1496 -11.0445 
 34  16.1539 -11.0018 
 35  16.1584 -10.9579 
 36  16.1630 -10.9153 
 37  16.1677 -10.8720 
 38  16.1729 -10.8267 
 39  16.1780 -10.7825 
 40  16.1831 -10.7390 
 41  16.1884 -10.6966 
 42  16.1939 -10.6530 
 43  16.1999 -10.6072 
 44  16.2057 -10.5636 
 45  16.2117 -10.5204 
 46  16.2180 -10.4760 
 47  16.2242 -10.4328 
 48  16.2309 -10.3883 
 49  16.2376 -10.3448 
 50  16.2447 -10.3005 
 51  16.2518 -10.2567 
 52  16.2591 -10.2132 
 53  16.2666 -10.1697 
 54  16.2744 -10.1254 
 55  16.2824 -10.0817 
 56  16.2906 -10.0381 
 57  16.2990  -9.9946 
 58  16.3078  -9.9509 
 59  16.3167  -9.9074 
 60  16.3260  -9.8637 
 61  16.3353  -9.8211 
 62  16.3450  -9.7784 
 63  16.3553  -9.7343 
 64  16.3657  -9.6914 
 65  16.3765  -9.6477 
 66  16.3875  -9.6049 
 67  16.3991  -9.5611 
 68  16.4107  -9.5188 
 69  16.4227  -9.4764 
 70  16.4352  -9.4335 
 71  16.4477  -9.3920 
 72  16.4609  -9.3493 
 73  16.4747  -9.3062 
 74  16.4890  -9.2632 
 75  16.5034  -9.2212 
 76  16.5181  -9.1793 
 77  16.5337  -9.1366 
 78  16.5494  -9.0948 
 79  16.5650  -9.0544 
 80  16.5813  -9.0134 
 81  16.5990  -8.9706 
 82  16.6165  -8.9292 
 83  16.6344  -8.8883 
 84  16.6528  -8.8475 
 85  16.6714  -8.8074 
 86  16.6906  -8.7673 
 87  16.7101  -8.7276 
 88  16.7304  -8.6875 
 89  16.7516  -8.6471 
 90  16.7728  -8.6077 
 91  16.7940  -8.5694 
 92  16.8162  -8.5306 
 93  16.8390  -8.4918 
 94  16.8622  -8.4535 
 95  16.8861  -8.4152 
 96  16.9103  -8.3776 
 97  16.9349  -8.3405 
 98  16.9594  -8.3046 
 99  16.9850  -8.2681 
100  17.0120  -8.2309 
101  17.0389  -8.1950 
102  17.0655  -8.1604 
103  17.0928  -8.1259 
104  17.1203  -8.0921 
105  17.1501  -8.0567 
106  17.1800  -8.0222 
107  17.2091  -7.9897 
108  17.2399  -7.9563 
109  17.2706  -7.9240 
110  17.3009  -7.8930 
111  17.3329  -7.8613 
112  17.3659  -7.8296 
113  17.3990  -7.7989 
114  17.4321  -7.7691 
115  17.4658  -7.7399 
116  17.4981  -7.7126 
117  17.5334  -7.6838 
118  17.5692  -7.6556 
119  17.6035  -7.6296 
120  17.6400  -7.6028 
121  17.6767  -7.5768 
122  17.7133  -7.5518 
123  17.7491  -7.5282 
124  17.7873  -7.5039 
125  17.8256  -7.4804 
126  17.8636  -7.4579 
127  17.9023  -7.4358 
128  17.9408  -7.4145 
129  17.9803  -7.3934 
130  18.0200  -7.3729 
131  18.0594  -7.3532 
132  18.0997  -7.3337 
133  18.1400  -7.3148 
134  18.1806  -7.2965 
135  18.2209  -7.2788 
136  18.2623  -7.2612 
137  18.3036  -7.2442 
138  18.3450  -7.2277 
139  18.3855  -7.2121 
140  18.4280  -7.1962 
141  18.4700  -7.1809 
142  18.5120  -7.1661 
143  18.5532  -7.1520 
144  18.5961  -7.1377 
145  18.6381  -7.1241 
146  18.6797  -7.1110 
147  18.7230  -7.0978 
148  18.7653  -7.0853 
149  18.8082  -7.0729 
150  18.8505  -7.0610 
151  18.8925  -7.0495 
152  18.9359  -7.0380 
153  18.9783  -7.0270 
154  19.0207  -7.0163 
155  19.0646  -7.0054 
156  19.1076  -6.9951 
157  19.1502  -6.9851 
158  19.1934  -6.9752 
159  19.2365  -6.9655 
160  19.2796  -6.9560 
161  19.3223  -6.9468 
162  19.3658  -6.9377 
163  19.4090  -6.9288 
164  19.4521  -6.9201 
165  19.4954  -6.9115 
166  19.5385  -6.9030 
167  19.5817  -6.8947 
168  19.6248  -6.8864 
169  19.6680  -6.8783 
170  19.7112  -6.8703 
171  19.7544  -6.8625 
172  19.7977  -6.8546 
173  19.8410  -6.8470 
174  19.8843  -6.8394 
175  19.9275  -6.8320 
176  19.9710  -6.8246 
177  20.0144  -6.8174 
