SS-1 0-0 BL
ID X Y
1 2.50000 37.30000
2 2.50000 42.00000
3 2.50000 46.70000
4 7.50000 37.30000
5 7.50000 42.00000
6 7.50000 46.70000
7 12.50000 46.70000
8 17.50000 45.35000
9 17.50000 48.05000
10 23.00000 45.35000
11 29.00000 45.35000
12 34.20000 45.35000
13 39.20000 45.35000
14 32.80000 48.67500
15 32.80000 51.42500
16 39.20000 48.67500
17 39.20000 51.42500
18 43.60000 45.35000
19 48.60000 45.35000
20 42.20000 48.67500
21 42.20000 51.42500
22 48.60000 48.67500
23 48.60000 51.42500
24 53.00000 45.35000
25 58.00000 45.35000
26 51.60000 48.67500
27 51.60000 51.42500
28 58.00000 48.67500
29 58.00000 51.42500
30 62.50000 45.35000
31 67.40000 45.35000
32 61.00000 48.67500
33 61.00000 51.42500
34 67.40000 48.67500
35 67.40000 51.42500
36 68.00000 41.35000
37 63.40000 41.35000
38 68.00000 37.75000
39 63.40000 37.75000
40 68.00000 34.15000
41 63.40000 34.15000
42 55.30000 3.87500
43 55.30000 11.62500
44 55.30000 19.37500
45 55.30000 27.12500
46 61.20000 3.87500
47 61.20000 11.62500
48 61.20000 19.37500
49 61.20000 27.12500
50 67.10000 3.87500
51 67.10000 11.62500
52 67.10000 19.37500
53 67.10000 27.12500
